ID,ID_BASE,TIPO_DATO,FECHA,DEPARTAMEN,MUNICIPIO,TIPO_SUELO,SUBZONA,DIRECCION,TIPO_INMUE,ZHF,ZHG,VALOR_ZHG,ESTRATO,ANIO_CONST,ESTADO_CON,AREA_TERRE,AREA_CONST,VALOR_M2_I,VALOR_TOTA,VALOR_ARRI,VALOR_ADMI,NUM_PISOS,NUM_HABITA,NUM_BANIOS,NUM_PARQ,ZONAS_COMU,ACUEDUCTO,ALCANTARIL,ENERGIA,GAS,FUENTE,NOMBRE_FUE,LATITUD,LONGITUD,FECHA_VALO
108012,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,LA SALLE,,APARTAMENTO,,,,4,,,,41.75,8860455.0,369924000.0,,,,1,1,0,,,,,,FR_96860,FINCA_RAIZ,4.642814159,-74.05651093,01/07/2020
108017,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,BOSQUE CALDERON,,APARTAMENTO,,,,4,1997.0,,,112.0,5267857.0,590000000.0,,,,3,3,1,,,,,,FR_96865,FINCA_RAIZ,4.640930176,-74.06001282,01/07/2020
108018,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHAPINERO CENTRAL,,APARTAMENTO,,,,3,,,,25.38,6660000.0,169030800.0,,,,1,1,0,,,,,,FR_96866,FINCA_RAIZ,4.645249844,-74.06430817,01/07/2020
108019,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,PALERMO,,APARTAMENTO,,,,3,2015.0,,,44.0,7511364.0,330500000.0,,264000,,1,2,1,,,,,,FR_96867,FINCA_RAIZ,4.633999825,-74.06800079,01/07/2020
108020,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHAPINERO CENTRAL,,APARTAMENTO,,,,3,,,,29.43,7283658.0,214358051.0,,,,1,1,10,,,,,,FR_96868,FINCA_RAIZ,4.640589714,-74.06394196,01/07/2020
108021,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,SAN FELIPE,,APARTAMENTO,,,,3,,,,34.09,5808155.0,198000000.0,,,,1,1,0,,,,,,FR_96869,FINCA_RAIZ,4.663134952,-74.06375678,01/07/2020
108022,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHICO NORTE II SECTOR,,APARTAMENTO,,,,6,,,,148.0,5743243.0,850000000.0,,800000,,3,3,2,,,,,,FR_96870,FINCA_RAIZ,4.679931641,-74.04164124,01/07/2020
108023,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,INGEMAR,,APARTAMENTO,,,,5,1997.0,,,108.0,6203704.0,670000000.0,,438000,,3,3,2,,,,,,FR_96871,FINCA_RAIZ,4.642175198,-74.05666351,01/07/2020
108024,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,SAN LUIS,,APARTAMENTO,,,,4,2015.0,,,48.0,6770833.0,325000000.0,,,,1,2,1,,,,,,FR_96872,FINCA_RAIZ,4.642640114,-74.07234192,01/07/2020
108026,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHAPINERO CENTRAL,,APARTAMENTO,,,,3,,,,25.38,6660000.0,169030800.0,,,,1,1,0,,,,,,FR_96874,FINCA_RAIZ,4.645249844,-74.06430817,01/07/2020
108029,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHAPINERO CENTRAL,,APARTAMENTO,,,,3,,,,38.0,7894737.0,300000000.0,,243000,,1,1,0,,,,,,FR_96877,FINCA_RAIZ,4.644859791,-74.06195068,01/07/2020
108032,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,LA CABRERA,,APARTAMENTO,,,,6,1997.0,,,163.0,6073620.0,990000000.0,,871825,,3,3,2,,,,,,FR_96880,FINCA_RAIZ,4.669000149,-74.05200195,01/07/2020
108034,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHAPINERO CENTRAL,,APARTAMENTO,,,,3,,,,25.38,6660000.0,169030800.0,,,,1,1,0,,,,,,FR_96882,FINCA_RAIZ,4.645249844,-74.06430817,01/07/2020
108035,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,PALERMO,,APARTAMENTO,,,,4,,,,42.0,5595238.0,235000000.0,,,,1,1,0,,,,,,FR_96883,FINCA_RAIZ,4.63395977,-74.07111359,01/07/2020
108036,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHAPINERO OCCIDENTAL,,APARTAMENTO,,,,4,,,,46.0,5000000.0,230000000.0,,,,1,1,0,,,,,,FR_96884,FINCA_RAIZ,4.64529705,-74.06778717,01/07/2020
108037,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHAPINERO CENTRAL,,APARTAMENTO,,,,3,,,,25.38,6660000.0,169030800.0,,,,1,1,0,,,,,,FR_96885,FINCA_RAIZ,4.645249844,-74.06430817,01/07/2020
108038,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,LA SALLE,,APARTAMENTO,,,,4,,,,41.75,8860455.0,369924000.0,,,,1,1,0,,,,,,FR_96887,FINCA_RAIZ,4.642814159,-74.05651093,01/07/2020
108039,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,SAN FELIPE,,APARTAMENTO,,,,3,,,,34.09,5808155.0,198000000.0,,,,1,1,0,,,,,,FR_96888,FINCA_RAIZ,4.663134952,-74.06375678,01/07/2020
108040,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,LA CABRERA,,APARTAMENTO,,,,6,1997.0,,,216.0,8101852.0,1750000000.0,,1800000,,3,4,2,,,,,,FR_96889,FINCA_RAIZ,4.668000221,-74.04699707,01/07/2020
108041,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,SAGRADO CORAZON,,APARTAMENTO,,,,4,,,,47.27,8779353.0,415000000.0,,,,1,1,1,,,,,,FR_96890,FINCA_RAIZ,4.627072811,-74.06776428,01/07/2020
108042,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHAPINERO CENTRAL,,APARTAMENTO,,,,3,,,,25.38,6660000.0,169030800.0,,,,1,1,0,,,,,,FR_96891,FINCA_RAIZ,4.645249844,-74.06430817,01/07/2020
108043,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,LA SALLE,,APARTAMENTO,,,,4,,,,41.75,8860455.0,369924000.0,,,,1,1,0,,,,,,FR_96892,FINCA_RAIZ,4.642814159,-74.05651093,01/07/2020
108044,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHAPINERO CENTRAL,,APARTAMENTO,,,,3,,,,71.0,3239437.0,230000000.0,,,,4,2,0,,,,,,FR_96893,FINCA_RAIZ,4.646471024,-74.06388855,01/07/2020
108046,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,ALFONSO LOPEZ,,APARTAMENTO,,,,4,1997.0,,,73.0,5205479.0,380000000.0,,,,2,2,1,,,,,,FR_96895,FINCA_RAIZ,4.637253284,-74.0761795,01/07/2020
108047,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,GRANADA,,APARTAMENTO,,,,6,2008.0,,,84.0,8095238.0,680000000.0,,530000,,2,2,1,,,,,,FR_96896,FINCA_RAIZ,4.650300026,-74.05313873,01/07/2020
108048,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,ALCALA,,APARTAMENTO,,,,5,2015.0,,,74.0,5675676.0,420000000.0,,300000,,2,2,1,,,,,,FR_96897,FINCA_RAIZ,4.603044811,-74.12643209,01/07/2020
108049,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,EL RETIRO,,APARTAMENTO,,,,6,,,,250.0,10000000.0,2500000000.0,,,,3,4,2,,,,,,FR_96898,FINCA_RAIZ,4.668361664,-74.05275726,01/07/2020
108050,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,ANTIGUO COUNTRY,,APARTAMENTO,,,,5,1997.0,,,92.0,7065217.0,650000000.0,,210000,,3,2,1,,,,,,FR_96899,FINCA_RAIZ,4.669000149,-74.05699921,01/07/2020
108051,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHAPINERO CENTRAL,,APARTAMENTO,,,,3,2015.0,,,69.0,6231884.0,430000000.0,,339000,,2,2,2,,,,,,FR_96900,FINCA_RAIZ,4.644699277,-74.06352019,01/07/2020
108052,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHAPINERO NORTE,,APARTAMENTO,,,,4,,,,105.0,6190476.0,650000000.0,,200000,,3,2,0,,,,,,FR_96901,FINCA_RAIZ,4.650650149,-74.06162011,01/07/2020
108053,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,LA SOLEDAD,,APARTAMENTO,,,,4,2015.0,,,56.0,8035714.0,450000000.0,,334000,,2,2,1,,,,,,FR_96902,FINCA_RAIZ,4.633319855,-74.07862091,01/07/2020
108055,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHICO NORTE III SECTOR,,APARTAMENTO,,,,6,2015.0,,,46.0,7391304.0,340000000.0,,319000,,1,2,1,,,,,,FR_96904,FINCA_RAIZ,4.683195661,-74.05353131,01/07/2020
108056,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,PARDO RUBIO,,APARTAMENTO,,,,4,2015.0,,,84.0,5714286.0,480000000.0,,300000,,2,2,1,,,,,,FR_96905,FINCA_RAIZ,4.637702465,-74.06160736,01/07/2020
108058,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,PARDO RUBIO,,APARTAMENTO,,,,5,2015.0,,,176.0,6818182.0,1200000000.0,,490000,,2,3,2,,,,,,FR_96907,FINCA_RAIZ,4.635392655,-74.06137112,01/07/2020
108059,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,MARLY,,APARTAMENTO,,,,4,2015.0,,,90.0,7222222.0,650000000.0,,474000,,4,3,1,,,,,,FR_96908,FINCA_RAIZ,4.635951996,-74.06565094,01/07/2020
108060,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,SAN LUIS ALTOS DEL CABO,,APARTAMENTO,,,,4,,,,31.12,6871208.0,213832000.0,,,,1,1,0,,,,,,FR_96909,FINCA_RAIZ,4.670081211,-74.02244988,01/07/2020
108062,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,QUESADA,,APARTAMENTO,,,,3,2015.0,,,37.4,7219251.0,270000000.0,,,,1,1,1,,,,,,FR_96911,FINCA_RAIZ,4.6366539,-74.06784821,01/07/2020
108063,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,CHAPINERO CENTRAL,,APARTAMENTO,,,,4,,,,94.0,4255319.0,400000000.0,,,,3,2,0,,,,,,FR_96912,FINCA_RAIZ,4.644699277,-74.06352019,01/07/2020
108064,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,SANTA TERESITA,,APARTAMENTO,,,,4,1997.0,,,97.0,3608247.0,350000000.0,,298000,,4,2,0,,,,,,FR_96913,FINCA_RAIZ,4.631758697,-74.0707461,01/07/2020
108067,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,PALERMO,,APARTAMENTO,,,,3,1997.0,,,70.0,5000000.0,350000000.0,,390000,,3,2,1,,,,,,FR_96916,FINCA_RAIZ,4.635016682,-74.0719057,01/07/2020
108069,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,LOS ROSALES,,APARTAMENTO,,,,6,,,,321.0,7835349.0,2515147000.0,,2091693,,2,3,4,,,,,,FR_96918,FINCA_RAIZ,4.660344195,-74.04785113,01/07/2020
108070,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,BAQUERO,,APARTAMENTO,,,,3,,,,72.0,4305556.0,310000000.0,,,,2,2,0,,,,,,FR_96919,FINCA_RAIZ,4.65265131,-74.0690155,01/07/2020
108071,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,COLOMBIA,,APARTAMENTO,,,,3,,,,83.0,7771084.0,645000000.0,,400000,,2,2,2,,,,,,FR_96920,FINCA_RAIZ,4.662568092,-74.06719971,01/07/2020
108072,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,PARDO RUBIO,,APARTAMENTO,,,,4,2015.0,,,75.0,6533333.0,490000000.0,,680000,,2,2,2,,,,,,FR_96921,FINCA_RAIZ,4.63605547,-74.06141663,01/07/2020
108073,Big Data Gesvalt_1,VENTA,01/07/2020,CUNDINAMARCA,BOGOTA,URBANO,BOSQUE CALDERON,,APARTAMENTO,,,,4,1997.0,,,122.0,4590164.0,560000000.0,,680000,,3,2,2,,,,,,FR_96922,FINCA_RAIZ,4.641231537,-74.06105042,01/07/2020
