ID,ID_BASE,TIPO_DATO,FECHA,DEPARTAMEN,MUNICIPIO,TIPO_SUELO,SUBZONA,DIRECCION,TIPO_INMUE,ZHF,ZHG,VALOR_ZHG,ESTRATO,ANIO_CONST,ESTADO_CON,AREA_TERRE,AREA_CONST,VALOR_M2_I,VALOR_TOTA,VALOR_ARRI,VALOR_ADMI,NUM_PISOS,NUM_HABITA,NUM_BANIOS,NUM_PARQ,ZONAS_COMU,ACUEDUCTO,ALCANTARIL,ENERGIA,GAS,FUENTE,NOMBRE_FUE,LATITUD,LONGITUD,FECHA_VALO
134329,Big Data Gesvalt _7,VENTA,11/05/21,VALLE DEL CAUCA,CALI,,PANCE,,APARTAMENTO,,,,5,2020,Bueno,,125.0,4320000.0,540000000.0,,$650.000,4,4.0,4.0,2,,,,,,Finca_6310673,https://www.fincaraiz.com.co/apartamento-en-venta/cali/pance-det-6310673.aspx,3.334000111,-76.53199768,11/05/21
134330,Big Data Gesvalt _7,VENTA,11/05/21,VALLE DEL CAUCA,CALI,,PANCE,,APARTAMENTO,,,,6,2012,Excelente,,103.0,4271845.0,440000000.0,,$487.000,3,3.0,3.0,2,,,,,,Finca_6312850,https://www.fincaraiz.com.co/apartamento-en-venta/cali/pance-det-6312850.aspx,3.355690956,-76.52977753,11/05/21
134332,Big Data Gesvalt _7,VENTA,11/05/21,VALLE DEL CAUCA,CALI,,VALLE DEL LILI,,APARTAMENTO,,,,4,2012,Bueno,,75.0,3466667.0,260000000.0,,$251.000,0,0.0,0.0,0,,,,,,Finca_6226021,https://www.fincaraiz.com.co/apartamento-en-venta/cali/valle_del_lili-det-6226021.aspx,3.371999979,-76.51899719,11/05/21
134334,Big Data Gesvalt _7,VENTA,11/05/21,VALLE DEL CAUCA,CALI,,VALLE DEL LILI,,APARTAMENTO,,,,4,2020,Excelente,,55.0,2818182.0,155000000.0,,$147.000,3,3.0,2.0,0,,,,,,Finca_6312638,https://www.fincaraiz.com.co/apartamento-en-venta/cali/valle_del_lili-det-6312638.aspx,3.365136385,-76.51436615,11/05/21
134338,Big Data Gesvalt _7,VENTA,11/05/21,VALLE DEL CAUCA,CALI,,PANCE,,APARTAMENTO,,,,6,2012,Bueno,,88.0,4090909.0,360000000.0,,$452.000,5,2.0,2.0,2,,,,,,Finca_4603160,https://www.fincaraiz.com.co/apartamento-en-venta/cali/pance-det-4603160.aspx,3.359999895,-76.52999878,11/05/21
134339,Big Data Gesvalt _7,VENTA,11/05/21,VALLE DEL CAUCA,CALI,,VALLE DEL LILI,,APARTAMENTO,,,,4,2012,Excelente,,60.0,3050000.0,183000000.0,,$162.000,6,2.0,2.0,0,,,,,,Finca_6317489,https://www.fincaraiz.com.co/apartamento-en-venta/cali/valle_del_lili-det-6317489.aspx,3.371119976,-76.51889038,11/05/21
134340,Big Data Gesvalt _7,VENTA,11/05/21,VALLE DEL CAUCA,CALI,,VALLE DEL LILI,,APARTAMENTO,,,,4,2020,Excelente,,82.0,2987805.0,245000000.0,,$236.000,5,3.0,2.0,1,,,,,,Finca_6211676,https://www.fincaraiz.com.co/apartamento-en-venta/cali/valle_del_lili-det-6211676.aspx,3.36784029,-76.51872253,11/05/21
134343,Big Data Gesvalt _7,VENTA,11/05/21,VALLE DEL CAUCA,CALI,,TEQUENDAMA,,APARTAMENTO,,,,5,2012,Excelente,,98.0,2653061.0,260000000.0,,$ -,2,3.0,2.0,0,,,,,,Finca_6221742,https://www.fincaraiz.com.co/apartamento-en-venta/cali/tequendama-det-6221742.aspx,3.424018383,-76.54775238,11/05/21
134345,Big Data Gesvalt _7,VENTA,11/05/21,VALLE DEL CAUCA,CALI,,CANAVERALES,,APARTAMENTO,,,,3,2012,Bueno,,57.0,2807018.0,160000000.0,,$150.000,5,3.0,2.0,1,,,,,,Finca_6068974,https://www.fincaraiz.com.co/apartamento-en-venta/cali/canaverales-det-6068974.aspx,3.40481472,-76.52438354,11/05/21
134346,Big Data Gesvalt _7,VENTA,11/05/21,VALLE DEL CAUCA,CALI,,TEMPLETE,,APARTAMENTO,,,,4,2005,Bueno,,87.0,2241379.0,195000000.0,,$150.000,5,3.0,2.0,0,,,,,,Finca_6221808,https://www.fincaraiz.com.co/apartamento-en-venta/cali/templete-det-6221808.aspx,3.422017574,-76.53856659,11/05/21
