ID;ID_BASE;TIPO_DATO;FECHA;DEPARTAMEN;MUNICIPIO;TIPO_SUELO;SUBZONA;DIRECCION;TIPO_INMUE;ZHF;ZHG;VALOR_ZHG;ESTRATO;ANIO_CONST;ESTADO_CON;AREA_TERRE;AREA_CONST;VALOR_M2_I;VALOR_TOTA;VALOR_ARRI;VALOR_ADMI;NUM_PISOS;NUM_HABITA;NUM_BANIOS;NUM_PARQ;ZONAS_COMU;ACUEDUCTO;ALCANTARIL;ENERGIA;GAS;FUENTE;NOMBRE_FUE;LATITUD;LONGITUD;FECHA_VALO
108191;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;PARDO RUBIO;;APARTAMENTO;;;;4;1997;;;72;5416667;390000000;;;;2;2;1;;;;;;FR_97043;FINCA_RAIZ;4,635392655;-74,06137112;01/07/2020
108192;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;BANCO CENTRAL;;APARTAMENTO;;;;4;1997;;;50;6400000;320000000;;260000;;2;1;1;;;;;;FR_97044;FINCA_RAIZ;4,642449856;-74,0704422;01/07/2020
108194;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;BELALCAZAR;;APARTAMENTO;;;;4;;;;112;3571429;400000000;;96000;;3;3;1;;;;;;FR_97046;FINCA_RAIZ;4,634900093;-74,07771301;01/07/2020
108196;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;PRADO VERANIEGO SUR;;APARTAMENTO;;;;5;;;;116;3362069;390000000;;390000;;3;4;1;;;;;;FR_97048;FINCA_RAIZ;4,710195065;-74,06652069;01/07/2020
108197;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;PARDO RUBIO;;APARTAMENTO;;;;4;2015;;;78;6666667;520000000;;450000;;2;2;1;;;;;;FR_97049;FINCA_RAIZ;4,635392655;-74,06137112;01/07/2020
108199;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;PALERMO;;APARTAMENTO;;;;4;;;;32;5000000;160000000;;;;1;1;0;;;;;;FR_97051;FINCA_RAIZ;4,635066986;-74,07331085;01/07/2020
108203;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;TEUSAQUILLO;;APARTAMENTO;;;;4;;;;77;4805195;370000000;;;;3;2;1;;;;;;FR_97055;FINCA_RAIZ;4,621850014;-74,07303619;01/07/2020
108205;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;LA SALLE;;APARTAMENTO;;;;6;2008;;;85;6317647;537000000;;544000;;2;2;1;;;;;;FR_97057;FINCA_RAIZ;4,645153522;-74,05812073;01/07/2020
108206;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;ARMENIA;;APARTAMENTO;;;;3;;;;70;4142857;290000000;;50000;;3;2;0;;;;;;FR_97058;FINCA_RAIZ;4,619989872;-74,07305908;01/07/2020
108209;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;LA SALLE;;APARTAMENTO;;;;4;1997;;;110;5000000;550000000;;437000;;2;3;1;;;;;;FR_97061;FINCA_RAIZ;4,645038605;-74,05738068;01/07/2020
108212;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;GALERIAS;;APARTAMENTO;;;;4;2015;;;33;6636364;219000000;;90000;;1;1;1;;;;;;FR_97064;FINCA_RAIZ;4,644439697;-74,07497406;01/07/2020
108213;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;EL NOGAL;;APARTAMENTO;;;;6;1997;;;198;8585859;1700000000;;1281000;;2;3;2;;;;;;FR_97065;FINCA_RAIZ;4,662000179;-74,05200195;01/07/2020
108214;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO CENTRAL;;APARTAMENTO;;;;4;1997;;;105;4095238;430000000;;330000;;2;2;1;;;;;;FR_97066;FINCA_RAIZ;4,640439987;-74,06369019;01/07/2020
108215;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;EL NOGAL;;APARTAMENTO;;;;6;2015;;;228;11403509;2600000000;;1600000;;3;4;3;;;;;;FR_97067;FINCA_RAIZ;4,660962105;-74,05124664;01/07/2020
108216;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;GRANADA;;APARTAMENTO;;;;5;1997;;;224;7589286;1700000000;;1500000;;4;5;2;;;;;;FR_97068;FINCA_RAIZ;4,648564816;-74,05332184;01/07/2020
108217;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO CENTRAL;;APARTAMENTO;;;;3;;;;67;4253731;285000000;;326000;;2;2;0;;;;;;FR_97069;FINCA_RAIZ;4,640087128;-74,0642395;01/07/2020
108218;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;BANCO CENTRAL;;APARTAMENTO;;;;4;1997;;;86;4883721;420000000;;;;3;3;1;;;;;;FR_97070;FINCA_RAIZ;4,643680096;-74,07124329;01/07/2020
108219;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO NORTE;;APARTAMENTO;;;;4;;;;60;5416667;325000000;;327000;;2;2;1;;;;;;FR_97071;FINCA_RAIZ;4,651002884;-74,0594635;01/07/2020
108222;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;GRANADA;;APARTAMENTO;;;;5;2015;;;60;7083333;425000000;;37000000;;1;2;1;;;;;;FR_97074;FINCA_RAIZ;4,648759842;-74,05347443;01/07/2020
108223;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;BOSQUE CALDERON;;APARTAMENTO;;;;4;;;;84;4702381;395000000;;296000;;2;2;0;;;;;;FR_97075;FINCA_RAIZ;4,641830444;-74,05931091;01/07/2020
108225;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;LA SOLEDAD;;APARTAMENTO;;;;4;1997;;;109;4862385;530000000;;;;3;2;1;;;;;;FR_97077;FINCA_RAIZ;4,631522179;-74,07711792;01/07/2020
108226;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;PORCIUNCULA;;APARTAMENTO;;;;5;;;;319;5015674;1600000000;;;;3;3;1;;;;;;FR_97078;FINCA_RAIZ;4,661095619;-74,05677032;01/07/2020
108228;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO NORTE;;APARTAMENTO;;;;4;;;;79;3797468;300000000;;350000;;2;2;1;;;;;;FR_97080;FINCA_RAIZ;4,65199995;-74,06199646;01/07/2020
108229;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;NICOLAS DE FEDERMAN;;APARTAMENTO;;;;4;;;;119;6596639;785000000;;400000;;3;3;1;;;;;;FR_97081;FINCA_RAIZ;4,647519313;-74,08239629;01/07/2020
108231;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO CENTRAL;;APARTAMENTO;;;;4;2008;;;40;5750000;230000000;;187000;;1;1;0;;;;;;FR_97083;FINCA_RAIZ;4,644699277;-74,06352019;01/07/2020
108232;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;SAN LUIS;;APARTAMENTO;;;;4;;;;30;6800000;204000000;;;;1;1;1;;;;;;FR_97084;FINCA_RAIZ;4,644060135;-74,07303619;01/07/2020
108234;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;QUESADA;;APARTAMENTO;;;;4;;;;98;3571429;350000000;;300000;;4;2;0;;;;;;FR_97086;FINCA_RAIZ;4,636654377;-74,06707764;01/07/2020
108236;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;SAN LUIS;;APARTAMENTO;;;;4;;;;117;3675214;430000000;;250000;;3;2;1;;;;;;FR_97088;FINCA_RAIZ;4,644000053;-74,0739975;01/07/2020
108237;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;QUINTA CAMACHO;;APARTAMENTO;;;;4;1997;;;585;4529915;2650000000;;1150000;;5;6;4;;;;;;FR_97089;FINCA_RAIZ;4,657969952;-74,06021118;01/07/2020
108238;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;TEUSAQUILLO;;APARTAMENTO;;;;4;;;;80;4500000;360000000;;215000;;2;2;0;;;;;;FR_97090;FINCA_RAIZ;4,620934486;-74,07180023;01/07/2020
108240;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;CHAPINERO CENTRAL;;APARTAMENTO;;;;4;2015;;;86;4418605;380000000;;;;3;2;1;;;;;;FR_97092;FINCA_RAIZ;4,644699277;-74,06352019;01/07/2020
108241;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;BOSQUE CALDERON;;APARTAMENTO;;;;4;2015;;;74;6756757;500000000;;490000;;2;2;1;;;;;;FR_97093;FINCA_RAIZ;4,642908096;-74,06005859;01/07/2020
108242;Big Data Gesvalt_1;VENTA;01/07/2020;CUNDINAMARCA;BOGOTA;URBANO;SIBERIA;;APARTAMENTO;;;;5;1997;;;253;3517787;890000000;;550000;;5;4;2;;;;;;FR_97094;FINCA_RAIZ;4,641402721;-74,05686188;01/07/2020
